1||1380882061951643||1||1

1||2000642426699979||1||5
0||2000642426699979||2||6
0||2000642426699979||3||7
1||2000642426699979||4||1
1||2000642426699979||5||2
1||2000642426699979||6||3
1||2000642426699979||7||4
1||2000642426699979||5||5
0||2000642426699979||1||1
0||2000642426699979||2||2
0||2000642426699979||3||3
0||2000642426699979||4||4
1||2000642426699979||5||3
1||2000642426699979||6||4
1||2000642426699979||7||1
1||2000642426699979||8||2
1||2000642426699979||9||3
1||2000642426699979||10||4
0||2000642426699979||1||1
